allBanksEver1,allBanksEver2,allBanksEver3,allBanksEver4,allBanksEver5,allBanksEver6,allBanksEver7,allBanksEver8,allBanksEver9,allBanksEver10
707354,NaN,17323,FIRST STATE COMMUNITY BANK,201 EAST COLUMBIA STREET ,FARMINGTON,MO,63640,041,
707372,NaN,32652,FBR NATIONAL BANK & TRUST,4922 FAIRMONT AVENUE ,BETHESDA,MD,20814,041,
707840,NaN,1877,BROWNSVILLE DEPOSIT BANK,113 EAST MAIN-CROSS STREET ,BROWNSVILLE,KY,42210,041,
707877,NaN,28918,"WOLVERINE BANK, F.S.B.",5710 EASTMAN AVENUE ,MIDLAND,MI,48640,041,
708052,NaN,26890,NORTHLAND NATIONAL BANK,99 NORTHEAST 72ND STREET ,GLADSTONE,MO,64118,041,
708137,NaN,27048,SECURITY BANK OF HOUSTON COUNTY,1208 WASHINGTON STREET ,PERRY,GA,310692556,041,
708164,NaN,26457,LIBERTY BANK,5801 DAVIS BLVD ,NORTH RICHLAND HILLS,TX,76180,041,
708333,NaN,6173,"PEOPLES BANK OF MULLENS, THE",200-206 FIRST STREET ,MULLENS,WV,25882,041,
708379,NaN,28925,SECURITY SAVINGS BANK,220 EAST BROADWAY ,MONMOUTH,IL,61462,041,
708454,NaN,21801,CANON NATIONAL BANK,816 ROYAL GORGE BOULEVARD ,CANON CITY,CO,81212,041,
708753,NaN,19954,BANK OF MINDEN,609 MAIN STREET ,MINDENMINES,MO,64769,041,
709031,NaN,173,"PEOPLES BANK, THE",3065 STONE MOUNTAIN ST ,LITHONIA,GA,30058,041,
709125,NaN,5878,FREDERICKTOWN BANK & TRUST COMPANY,30 N MARKET STREET ,FREDERICK,MD,217010510,041,
709143,NaN,3711,MIDWEST BANK OF WESTERN ILLINOIS,200 EAST BROADWAY ,MONMOUTH,IL,614621764,041,
709358,NaN,5365,"EAGLE VALLEY BANK, NATIONAL ASSOCIATION",102 NORTH WASHINGTON STREET ,SAINT CROIX FALLS,WI,54024,041,
709451,NaN,9791,COMMERCIAL TRUST COMPANY OF FAYETTE,119 NORTH MAIN STREET ,FAYETTE,MO,65248,041,
709554,NaN,16720,"WESTERN BANK, ARTESIA, NEW MEXICO",201 SOUTH 4TH STREET ,ARTESIA,NM,882100500,041,
709602,NaN,90290,UNIBANK FOR SAVINGS,49 CHURCH ST ,WHITINSVILLE,MA,01588,041,
709639,NaN,6091,MACON BANK AND TRUST COMPANY,HIGHWAY 52 BYPASS ,LAFAYETTE,TN,37083,041,
709648,NaN,3860,"SIMMONS FIRST BANK OF EL DORADO, N.A.",100 WEST GROVE STREET ,EL DORADO,AR,71730,041,
709675,NaN,23671,AMERIKA SAMOA BANK,AMERIKA SAMOA BANK BUILDING ,PAGO PAGO,AS,96799,041,
709956,NaN,22855,PONTOTOC COUNTY BANK,131 MAIN STREET ,ROFF,OK,74865,041,
710176,NaN,28930,FIRST MISSOURI NATIONAL BANK,300 WEST LOCKLING ,BROOKFIELD,MO,64628,041,
710251,NaN,22042,FIRSTBANK OF DOUGLAS COUNTY,2 PLUM CREEK PARKWAY ,CASTLE ROCK,CO,80104,041,
710859,NaN,11491,"CITIZENS BANK OF CLOVIS, THE",421 PILE STREET ,CLOVIS,NM,881017540,041,
711472,NaN,20884,BANK OF GUAM,111 WEST CHALAN SANTO PAPA ,HAGATNA,GU,96910,031,
711520,NaN,23989,MINERS EXCHANGE BANK,US ALTERNATE 58 ,COEBURN,VA,24230,041,
711548,NaN,14009,CHELSEA STATE BANK,1010 SOUTH MAIN STREET PO BOX 10,CHELSEA,MI,481180010,041,
711753,NaN,14026,SCRIBNER BANK,400 MAIN STREET ,SCRIBNER,NE,68057,041,
711801,NaN,90291,"SAVINGS BANK, THE",357 MAIN STREET ,WAKEFIELD,MA,01880,041,
711865,NaN,23060,BANK OF CORONADO,1190 ORANGE AVENUE ,CORONADO,CA,92118,041,
711959,NaN,9734,FIRST STATE BANK OF MURDOCK,520 MAIN AVENUE ,MURDOCK,MN,56271,041,
712004,NaN,90171,PEOPLE'S SAVINGS BANK OF BROCKTON,73 BELMONT STREET ,SOUTH EASTON,MA,02375,041,
712031,NaN,9246,NORTHWEST GEORGIA BANK,5063 ALABAMA HIGHWAY ,RINGGOLD,GA,30736,041,
712059,NaN,10958,UNITED PRAIRIE BANK,1141 THIRD AVENUE ,MOUNTAIN LAKE,MN,56159,041,
712273,NaN,28934,PERPETUAL FEDERAL SAVINGS BANK OF URBANA,120 N MAIN STREET ,URBANA,OH,43078,041,
712648,NaN,12531,"PEOPLES BANK, THE",500 NORTH JACKSON ,MAGNOLIA,AR,71753,041,
712750,NaN,8709,COMMUNITY BANK,1214 TOWER AVENUE ,SUPERIOR,WI,54880,041,
712956,NaN,18514,FIRST NEW MEXICO BANK,300 S. GOLD ,DEMING,NM,880303731,041,
713038,NaN,14794,BANK OF JACKSON COUNTY,1005 CLIFF STREET ,GRACEVILLE,FL,32440,041,
713047,NaN,20769,BANK OF MONTGOMERY,1333 DOUGLAS ROAD ,MONTGOMERY,IL,60538,041,
713074,NaN,30950,AMERICAN LOAN AND SAVINGS ASSOCIATION,105 NORTH MAPLE AVENUE ,HANNIBAL,MO,63401,041,
713140,NaN,17047,FIRST DELTA BANK,MAIN STREET ,TYRONZA,AR,72386,041,
713252,NaN,10250,PEOPLES STATE BANK OF VELVA,101 N. MAIN STREET ,VELVA,ND,58790,041,
713476,NaN,29120,"PYRAMAX BANK, S.S.B.",7001 WEST EDGERTON AVENUE ,GREENFIELD,WI,532204487,041,
713926,NaN,8668,FARMERS & MERCHANTS BANK,205 SOUTH MAIN STREET ,TIMBERVILLE,VA,22853,041,
714165,NaN,5518,"CITY NATIONAL BANK OF SAN SABA, THE",209 E. BROWN ,SAN SABA,TX,768773501,041,
714361,NaN,24308,FIRST AMERICAN BANK,8941 EAST VALLEY BOULEVARD ,ROSEMEAD,CA,91770,041,
714437,NaN,1705,SEQUATCHIE COUNTY BANK,810 RANKIN AVENUE NORTH ,DUNLAP,TN,37327,041,
714558,NaN,1928,MOUNTAIN IRON FIRST STATE BANK,8401 SOUTH EIGHTH STREET ,MOUNTAIN IRON,MN,55768,041,
714718,NaN,22302,BANCO FINANCIERO DE PUERTO RICO,MAYOR AND ISABELLE STREETS ,PONCE,PR,00731,041,
714811,NaN,19736,"CHINESE AMERICAN BANK, THE",77 BOWERY ,NEW YORK,NY,10002,031,
714839,NaN,22046,FIRST NATIONAL BANK USA,U.S.HWY 90 WEST ,BOUTTE,LA,70039,041,
714978,NaN,26922,"COOPERATIVE BANK, THE",40 BELGRADE AVE ,ROSLINDALE,MA,02131,041,
715032,NaN,15216,PEOPLES BANK,N.E. BROAD STREET ,LYONS,GA,30436,041,
715050,NaN,5095,"STAR BANK, NATIONAL ASSOCIATION",MAIN ST. ,BERTHA,MN,56437,041,
715144,NaN,3713,GRUNDY COUNTY NATIONAL BANK,201 LIBERTY ,MORRIS,IL,60450,041,
715340,NaN,22308,WEST MICHIGAN COMMUNITY BANK,3467 KELLY STREET BOX 129,HUDSONVILLE,MI,49426,041,
715470,NaN,31972,FIRST WESTERN FEDERAL SAVINGS BANK,402 MAIN STREET ,RAPID CITY,SD,57701,041,
715630,NaN,10317,CITIZENS BANK AND TRUST COMPANY OF GRAINGER COUNTY,MAIN STREET ,RUTLEDGE,TN,37861,041,
715751,NaN,19103,FIRST NATIONAL BANK OF THE LAKES,2445 SHADYWOOD ROAD ,NAVARRE,MN,55392,041,
715809,NaN,7070,"NATIONAL BANK OF GENEVA, THE",2 SENECA STREET ,GENEVA,NY,14456,041,
715872,NaN,31217,LIFESTORE BANK,205 SOUTH JEFFERSON AVENUE ,WEST JEFFERSON,NC,28694,041,
715975,NaN,28949,AMORY FEDERAL SAVINGS AND LOAN ASSOCIATION,213 SECOND AVENUE NORTH ,AMORY,MS,38821,041,
716374,NaN,31223,FIRST HARRISON BANK,220 FEDERAL DRIVE NW ,CORYDON,IN,47112,041,
716413,NaN,22946,SCOTIABANK DE PUERTO RICO,273 PONCE DE LEON AVENUE ,HATO REY,PR,00918,041,
716440,NaN,16827,PIONEER BANK,2708 NORTH JACKSON HIGHWAY ,CANMER,KY,42722,041,
716459,NaN,18741,SHICKLEY STATE BANK,222 NORTH MARKET ,SHICKLEY,NE,68436,041,
716552,NaN,23760,FIRST NATIONAL BANK OF COLORADO SPRINGS,4328 EDISON AVENUE ,COLORADO SPRINGS,CO,80915,041,
716655,NaN,5216,"AMERICAN BANK OF NASHWAUK, THE",117 CENTRAL AVENUE ,NASHWAUK,MN,55769,041,
716833,NaN,16250,MARQUETTE NATIONAL BANK,6316 SOUTH WESTERN AVENUE ,CHICAGO,IL,60636,041,
716851,NaN,22867,COMMUNITY BANK OF RAYMORE,801 WEST FOXWOOD DRIVE ,RAYMORE,MO,64083,041,
716954,NaN,13032,CITIZENS STATE BANK,11374 MAIN STREET ,TREMPEALEAU,WI,54661,041,
717232,NaN,21692,PEOPLES BANK OF GRACEVILLE,406 BROWN STREET ,GRACEVILLE,FL,32440,041,
717241,NaN,17064,FIRST NATIONAL BANK OF MORTON GROVE,6201 DEMPSTER STREET ,MORTON GROVE,IL,60053,041,
717513,NaN,2704,FIRST NATIONAL BANK & TRUST,4TH AND MAIN STREET ,LONDON,KY,40741,041,
717670,NaN,29143,SYSTEMATIC SAVINGS BANK,318 SOUTH AVENUE ,SPRINGFIELD,MO,65806,041,
717737,NaN,20954,CITIZENS NATIONAL BANK,200 FORKS OF THE RIVER PKWY ,SEVIERVILLE,TN,37862,041,
717746,NaN,6190,M&I BANK SOUTH,100 NORTH MAIN STREET P O BOX 5000,JANESVILLE,WI,53547,041,
717867,NaN,26920,FIRST NATIONAL BANK OF OLNEY,307 W. MAIN STREET ,OLNEY,TX,763741889,041,
717924,NaN,15359,SOUTHERN BANK AND TRUST COMPANY,101 NORTH CENTER STREET ,MOUNT OLIVE,NC,28365,041,
718051,NaN,1625,PEOPLES BANK OF FORDLAND,SUNSET STREET AND HIGHWAY 60 ,FORDLAND,MO,65652,041,
718079,NaN,31980,AMERICAN SAVINGS BANK,808 WEST MAIN STREET ,LIVINGSTON,TN,38570,041,
718145,NaN,17120,FIRST SECURITY BANK,201 HIGHWAY 6 WEST ,BATESVILLE,MS,38606,041,
718275,NaN,26539,BANK OF THE FEDERATED STATES OF MICRONESIA,100 WATERFRONT STREET ,POHNPEI,0 ,96941,041,
718538,NaN,11953,"GRANT COUNTY BANK, THE",3 N MAIN STREET BOX 929 ,PETERSBURG,WV,26847,041,
718547,NaN,2736,"FIRST NATIONAL BANK OF CENTRAL CITY, THE",130 WEST BROAD STREET ,CENTRAL CITY,KY,42330,041,
718556,NaN,5475,"AMERICAN NATIONAL BANK OF SIDNEY, THE",901 10TH ,SIDNEY,NE,69162,041,
718930,NaN,912,METROPOLITAN BANK AND TRUST COMPANY,2201 WEST CERMAK ROAD ,CHICAGO,IL,60608,041,
719030,NaN,6787,"FIRST NATIONAL BANK OF PETERSTOWN, THE",220 MARKET STREET ,PETERSTOWN,WV,24963,041,
719058,NaN,8353,FARMERS STATE BANK OF SILVER CREEK,2ND & VINE STREETS ,SILVER CREEK,NE,68663,041,
719441,NaN,3796,SHAWNEE STATE BANK,628 FRONT STREET ,GRAND TOWER,IL,62942,041,
719610,NaN,2708,"FIRST NATIONAL BANK OF MANCHESTER, THE",120 TOWN SQUARE ,MANCHESTER,KY,40962,041,
719656,NaN,12223,"CALLAWAY BANK, THE",EAST 5TH AND COURT STREETS ,FULTON,MO,65251,041,
719955,NaN,10581,BEACON BANK,19765 STATE HIGHWAY 7 ,SHOREWOOD,MN,55331,041,
719964,NaN,17775,FIRST STATE BANK,TRUHART & MOSS ,PAINT ROCK,TX,76866,041,
720045,NaN,15227,"BANK OF JUDA, THE",201 MAIN STREET ,JUDA,WI,53550,041,
720157,NaN,9752,MARSHALL COUNTY STATE BANK,118 EAST MINNESOTA AVENUE ,NEWFOLDEN,MN,56738,041,
720166,NaN,15764,"CITY STATE BANK OF PALACIOS, THE",459 MAIN STREET ,PALACIOS,TX,774655463,041,
720344,NaN,13167,BANK OF CLARKSON,101 EAST MAIN STREET ,CLARKSON,KY,42726,041,
720465,NaN,23124,ALLIANCE BANK,"100 CORPORATE POINTE, SUITE 110 ",CULVER CITY,CA,90230,041,
720746,NaN,3799,"BRADFORD NATIONAL BANK OF GREENVILLE, THE",100 EAST COLLEGE AVENUE ,GREENVILLE,IL,62246,041,
720858,NaN,13794,MCINTOSH COUNTY BANK,MAIN ST. ,ASHLEY,ND,58413,041,
720951,NaN,10621,FIRST COMMERCIAL BANK,FIRST AND MAIN STREETS ,GIDEON,MO,63848,041,
721350,NaN,8387,FIRST STATE BANK OF NORTH DAKOTA,340 MAIN STREET ,ARTHUR,ND,58006,041,
721574,NaN,29172,FIRST FEDERAL SAVINGS & LOAN ASSOCIATION OF WAKEENEY,229 NORTH MAIN ,WAKEENEY,KS,67672,041,
721659,NaN,4643,"CONDON NATIONAL BANK OF COFFEYVILLE, THE",814 WALNUT STREET ,COFFEYVILLE,KS,67337,041,
721752,NaN,9340,"FARMERS & MERCHANTS STATE BANK OF NEW YORK MILLS, INCORPORATED",11 NORTH WALKER AVENUE ,NEW YORK MILLS,MN,56567,041,
721800,NaN,7073,"EVERGREEN BANK, NATIONAL ASSOCIATION",237 GLEN STREET ,GLENS FALLS,NY,12801,041,
721949,NaN,2738,"FIRST NATIONAL BANK OF COLUMBIA, THE",224 SOUTH PUBLIC SQUARE ,COLUMBIA,KY,42728,041,
722227,NaN,9502,FIRST STATE BANK,445 MOUNT CROSS ROAD ,DANVILLE,VA,24541,041,
722432,NaN,845,"BANK OF ROMNEY, THE",MAIN AND GRAFTON ,ROMNEY,WV,26757,041,
722450,NaN,14479,CITY STATE BANK,201 NORTH SAUNDERS ,SUTTON,NE,68979,041,
722544,NaN,10044,NATIONAL EXCHANGE BANK AND TRUST,130 SOUTH MAIN STREET P O BOX 988,FOND DU LAC,WI,549360988,041,
722777,NaN,29950,"SOVEREIGN BANK, NATIONAL ASSOCIATION","824 NORTH MARKET STREET, SUITE 100 ",WILMINGTON,DE,19801,031,
722816,NaN,13297,SOLVAY BANK,1537 MILTON AVENUE ,SOLVAY,NY,13209,041,
723037,NaN,2377,JACKSON BANK & TRUST,HULL STREET AND MURRAY STREET ,GAINESBORO,TN,38562,041,
723112,NaN,6672,FIFTH THIRD BANK,38 FOUNTAIN SQ PLAZA ,CINCINNATI,OH,452630001,031,
723158,NaN,8541,STATE BANK OF FAIRMONT,918 EAST BLUE EARTH AVENUE ,FAIRMONT,MN,56031,041,
723309,NaN,20615,FIRST BANK AND TRUST COMPANY,180 WASHINGTON ST ,PROVIDENCE,RI,02901,041,
723354,NaN,5457,"WELLS FARGO BANK NEBRASKA, NATIONAL ASSOCIATION",1919 DOUGLAS STREET ,OMAHA,NE,68102,041,
723550,NaN,15606,"HAMILTON BANK, THE",127 NORTH DAVIS STREET ,HAMILTON,MO,64644,041,
723653,NaN,2249,WESTERN BANK,140 E. MOTEL AVENUE ,LORDSBURG,NM,88045,041,
723710,NaN,15975,"ONEIDA SAVINGS BANK, THE",182 MAIN STREET ,ONEIDA,NY,13421,041,
723747,NaN,15127,LA FARGE STATE BANK,MAIN STREET P O BOX 7,LA FARGE,WI,54639,041,
723756,NaN,14636,PEOPLES BANK NATIONAL ASSOCIATION,101 EAST MAIN P.O. BOX 727,COLDWATER,KS,67029,041,
723822,NaN,16414,VIRGINIA BANK AND TRUST COMPANY,336 MAIN STREET ,DANVILLE,VA,24543,041,
723868,NaN,18132,PEARLAND STATE BANK,2301 N. MAIN STREET ,PEARLAND,TX,775814111,041,
723943,NaN,15548,FARMERS STATE BANK,310 NORTH MAIN STREET P.O. BOX 361,LIBERTY,IN,47353,041,
724052,NaN,1939,FARMERS & MERCHANTS BANK AND TRUST COMPANY,505 BROADWAY ,HANNIBAL,MO,63401,041,
724230,NaN,10693,FIRST BANK OF TENNESSEE,FRONT STREET ,SPRING CITY,TN,373819401,041,
724351,NaN,13810,HERITAGE NATIONAL BANK,2700 E. 7TH AVE. ,NORTH SAINT PAUL,MN,55109,041,
724548,NaN,9668,DIXON BANK,42 US HIGHWAY 41A SOUTH ,DIXON,KY,42409,041,
724557,NaN,14592,BURT COUNTY STATE BANK,303 SOUTH 13TH ,TEKAMAH,NE,68061,041,
724744,NaN,14079,GRUNDY NATIONAL BANK OF GRUNDY CENTER,603 7TH STREET ,GRUNDY CENTER,IA,50638,041,
724753,NaN,15375,"CITIZENS STATE BANK OF OLIVIA, THE",111 SOUTH 10TH ,OLIVIA,MN,56277,041,
724847,NaN,18055,PLAZA BANK,7460 IRVING PARK ROAD ,NORRIDGE,IL,60634,041,
724904,NaN,27417,"HOME LOAN INVESTMENT BANK, F.S.B.","1 HOME LOAN PLAZA, SUITE 3 ",WARWICK,RI,02886,041,
724940,NaN,10469,FARMERS & MERCHANTS BANK OF HUTSONVILLE,108 SOUTH MAIN STREET ,HUTSONVILLE,IL,62433,041,
725077,NaN,27989,OTTAWA SAVINGS BANK,925 LASALLE ST ,OTTAWA,IL,61350,041,
725376,NaN,29967,UNION BUILDING AND LOAN SAVINGS BANK,303 LEOPARD LANE ,WEST BRIDGEWATER,PA,15009,041,
725611,NaN,2712,MOUNT STERLING NATIONAL BANK,30 W. MAIN STREET ,MOUNT STERLING,KY,40353,041,
725732,NaN,21265,BAC FLORIDA BANK,848 BRICKELL AVENUE SUITE 700,MIAMI,FL,33131,031,
725741,NaN,321,HOLMES COUNTY BANK & TRUST COMPANY,316 COURT STREET ,LEXINGTON,MS,39095,041,
725826,NaN,11088,"BANK OF LEIPSIC COMPANY, THE",142 MAIN ST ,LEIPSIC,OH,45856,041,
725844,NaN,12319,LEBANON STATE BANK,104 WEST MAIN STREET P O BOX 436,WATERTOWN,WI,530940436,041,
725853,NaN,4646,COMMUNITY BANK OF THE MIDWEST,2220 BROADWAY ,GREAT BEND,KS,67530,041,
726234,NaN,18116,MERCHANTS & SOUTHERN BANK,2040 NORTHWEST 67TH PLACE ,GAINESVILLE,FL,32653,041,
726346,NaN,13237,ASSOCIATED BANK SOUTH CENTRAL,1720 MONROE STREET ,MADISON,WI,53711,041,
726355,NaN,15492,STATE BANK OF CONWAY SPRINGS,218 WEST SPRING AVENUE ,CONWAY SPRINGS,KS,67031,041,
726458,NaN,5221,"FIRST NATIONAL BANK OF OSAKIS, THE",211-213 CENTRAL AVE. ,OSAKIS,MN,56360,041,
726467,NaN,17755,PINELAND STATE BANK,HIGHWAY 83 ,PINELAND,TX,75968,041,
726757,NaN,24094,COLONIAL BANK,3095 SOUTH PARKER ROAD ,AURORA,CO,80014,041,
726953,NaN,26626,UNITED TEXAS BANK,"12222 MERIT DR, SUITE 100 ",DALLAS,TX,75251,041,
727156,NaN,13257,FARMERS STATE BANK,234 SOUTH COMMERCIAL AVENUE ,WALLACE,NE,69169,041,
727174,NaN,27998,"GUARDIAN SAVINGS BANK, F.S.B.",5901 COLERAIN AVE ,CINCINNATI,OH,45239,041,
727343,NaN,13722,HAMPTON STATE BANK,100 1ST STREET NORTHWEST P O BOX 119,HAMPTON,IA,50441,041,
727455,NaN,26283,"STATE BANK AND TRUST COMPANY, DALLAS","8214 WESTCHESTER, SUITE 400 ",DALLAS,TX,75225,041,
727473,NaN,29979,"ANCHORBANK, FSB",25 WEST MAIN STREET ,MADISON,WI,53703,041,
727530,NaN,10805,BANK OF DWIGHT,132 EAST MAIN STREET ,DWIGHT,IL,60420,041,
727950,NaN,18020,FARMERS STATE BANK,FIFTH AND MAIN STREET ,CORNING,KS,66417,041,
728340,NaN,16536,CITIZENS BANK AND TRUST COMPANY,100 EAST MAIN STREET ,LOUISVILLE,MS,39339,041,
728443,NaN,13042,M&I BANK OF SOUTHERN WISCONSIN,1 WEST MAIN STREET ,MADISON,WI,53701,031,
728452,NaN,21463,FIRST NATIONAL BANK,1033 NORTH BUCKNER ,DERBY,KS,67037,041,
728733,NaN,15339,"TERRA ALTA BANK, THE",1101 EAST STATE AVENUE ,TERRA ALTA,WV,26764,041,
728742,NaN,15437,FARMERS BANK & CAPITAL TRUST COMPANY,ONE FARMERS BANK PLAZA ,FRANKFORT,KY,40601,041,
728779,NaN,28010,"HOME SAVINGS BANK, SSB OF EDEN",106 SOUTH VAN BUREN ROAD ,EDEN,NC,27288,041,
728854,NaN,3011,"WELLS FARGO BANK WEST, NATIONAL ASSOCIATION",1740 BROADWAY ,DENVER,CO,80274,031,
728948,NaN,4465,"MIDSTATES BANK, NATIONAL ASSOCIATION",1851 MADISON AVENUE SUITE 732,COUNCIL BLUFFS,IA,51503,041,
728957,NaN,10165,FARMERS AND MERCHANTS STATE BANK OF PIERZ,80 MAIN ST. ,PIERZ,MN,56364,041,
729011,NaN,5981,"COMMUNITY BANK, THE",42 E. MAIN STREET ,CROOKSVILLE,OH,43731,041,
729057,NaN,10194,PINE RIVER STATE BANK,212 PARK AVENUE ,PINE RIVER,MN,56474,041,
729132,NaN,21220,ESPIRITO SANTO BANK,999 BRICKELL AVENUE ,MIAMI,FL,33131,031,
729178,NaN,31905,"CYPRESS BANK, SSB",120 SOUTH GREER BOULEVARD ,PITTSBURG,TX,75686,041,
729310,NaN,15977,PATHFINDER BANK,214 WEST FIRST STREET ,OSWEGO,NY,13126,041,
729440,NaN,227,FARMERS STATE BANK,801 CENTRAL AVENUE ,HAWARDEN,IA,51023,041,
729459,NaN,12193,"SECURITY STATE BANK OF PINE ISLAND, THE",128 SOUTH MAIN STREET ,PINE ISLAND,MN,55963,041,
729570,NaN,29999,MUTUAL SAVINGS BANK,330 WEST CAROLINA AVENUE ,HARTSVILLE,SC,29550,041,
729637,NaN,12099,"METROBANK, NATIONAL ASSOCIATION",2322 EAST KIMBERLY ROAD ,DAVENPORT,IA,52807,041,
729842,NaN,16201,BANK OF WOLCOTT,105 NORTH RANGE STREET P O BOX 336,WOLCOTT,IN,47995,041,
729945,NaN,9777,CITIZENS BANK AND TRUST COMPANY,239 EAST MAIN STREET ,MARKS,MS,38646,041,
730213,NaN,15978,OSWEGO COUNTY SAVINGS BANK,44 EAST BRIDGE STREET ,OSWEGO,NY,13126,041,
730268,NaN,23083,GENERAL BANK,800 WEST SIXTH STREET ,LOS ANGELES,CA,90017,041,
730446,NaN,14936,ACKLEY STATE BANK,650 MAIN STREET P O BOX 149,ACKLEY,IA,50601,041,
730745,NaN,11761,CITIZENS SAVINGS BANK,133 EAST MAIN P O BOX 6,HAWKEYE,IA,52147,041,
730754,NaN,16476,NORTHWEST COMMUNITY BANK,MAIN STREET ,PLUMMER,MN,56748,041,
730857,NaN,3130,"FIRST NATIONAL BANK OF CANTON, THE",231 E. TYLER ,CANTON,TX,751031415,041,
731050,NaN,16079,YORK STATE BANK AND TRUST COMPANY,700 LINCOLN AVENUE ,YORK,NE,68467,041,
731247,NaN,14650,HILLS BANK AND TRUST COMPANY,131 MAIN STREET ,HILLS,IA,52235,041,
731313,NaN,7537,FIRST LIBERTY BANK & TRUST,645 WASHINGTON STREET ,JERMYN,PA,18433,041,
731443,NaN,8736,"FARMERS AND MERCHANTS BANK, THE",102 EAST BUCHANAN ,PRAIRIE GROVE,AR,72753,041,
731957,NaN,5232,"FIRST NATIONAL BANK OF PROCTOR, THE",211 2ND ST. ,PROCTOR,MN,55810,041,
732178,NaN,32084,GRAND SAVINGS BANK,1022 SOUTH MAIN STREET ,GROVE,OK,74344,041,
732253,NaN,10531,CITIZENS PROGRESSIVE BANK,MAIN STREET ,COLUMBIA,LA,714181689,041,
732365,NaN,18835,IMPERIAL BANK,9920 SOUTH LA CIENEGA BOULEVARD ,INGLEWOOD,CA,90301,031,
732459,NaN,8202,RED LAKE COUNTY STATE BANK,210 MAIN STREET ,RED LAKE FALLS,MN,56750,041,
732570,NaN,31916,"COMMUNITY BANK, THE",4205 HILLSBORO ROAD ,NASHVILLE,TN,37215,041,
732637,NaN,16453,WHITESVILLE STATE BANK,407 BOONE STREET ,WHITESVILLE,WV,25209,041,
732730,NaN,21290,FIRST NATIONAL BANK OF WIGGINS,124 BORDER AVENUE ,WIGGINS,MS,39577,041,
732758,NaN,23210,BANKERS' BANK OF THE WEST,"1099 18TH STREET, SUITE 2700 ",DENVER,CO,80202,041,
732918,NaN,14359,JERSEY SHORE STATE BANK,115 SOUTH MAIN STREET ,JERSEY SHORE,PA,17740,041,
732945,NaN,15302,ROCK RIVER BANK OF OREGON,101 SOUTH 4TH STREET ,OREGON,IL,61061,041,
732954,NaN,19278,CARMINE STATE BANK,205 CENTENNIAL ,CARMINE,TX,78932,041,
733045,NaN,4421,"FIRST NATIONAL BANK OF AKRON, THE",251 REED STREET ,AKRON,IA,51001,041,
733054,NaN,12506,INDUSTRY STATE BANK,16886 FORDTRAN BLVD ,INDUSTRY,TX,78944,041,
733447,NaN,17701,ORANGEVILLE COMMUNITY BANK,401 SOUTH CHURCH STREET ,ORANGEVILLE,IL,61060,041,
733531,NaN,20544,"HARRIS BANK ELK GROVE, NATIONAL ASSOCIATION",500 EAST DEVON AVENUE ,ELK GROVE VILLAGE,IL,60007,041,
733540,NaN,8730,"BANK OF RISON, THE",200 MAIN STREET ,RISON,AR,71665,041,
733559,NaN,14058,PETERSBURG STATE BANK,140 MAIN ,PETERSBURG,NE,68652,041,
733661,NaN,25803,RANCHO SANTA FE THRIFT AND LOAN ASSOCIATION,"1001 W. SAN MARCOS BOULEVARD, SUITE 140 ",SAN MARCOS,CA,92069,041,
733755,NaN,8896,JONESBURG STATE BANK,4 SOUTH FIRST STREET ,JONESBURG,MO,63351,041,
733951,NaN,11778,"CITIZENS STATE BANK AND TRUST CO., ELLSWORTH, KANSAS",203 NORTH DOUGLAS ,ELLSWORTH,KS,67439,041,
734051,NaN,19645,"CASS COUNTY BANK, INC",2020 WEST 8TH AVENUE ,PLATTSMOUTH,NE,68048,041,
734248,NaN,950,IOWA STATE BANK,5 EAST CALL ,ALGONA,IA,50511,041,
734350,NaN,16689,GIBSLAND BANK & TRUST COMPANY,1246 THIRD ST ,GIBSLAND,LA,71028,041,
734538,NaN,25247,FIRST NATIONAL BANKER'S BANK,7813 OFFICE PARK BOULEVARD ,BATON ROUGE,LA,70809,041,
734565,NaN,21962,FIRST PRESIDIO BANK,HIGHWAY 67 & CASSELL STREET ,PRESIDIO,TX,79845,041,
734613,NaN,90384,"BANK OF LANDISBURG, THE",MAIN STREET ,LANDISBURG,PA,17040,041,
734855,NaN,17399,"CALDWELL STATE BANK IN CALDWELL, KANSAS, THE",24 NORTH MAIN STREET ,CALDWELL,KS,67022,041,
734949,NaN,17142,SECURITY STATE BANK,211 EAST MAPLE ,HUBBARD,IA,50122,041,
735049,NaN,14926,FREELAND STATE BANK,185 EAST WASHINGTON ,FREELAND,MI,48623,041,
735058,NaN,16538,RICHFIELD BANK & TRUST COMPANY,6625 LYNDALE AVENUE SOUTH ,RICHFIELD,MN,55423,041,
735067,NaN,3400,"SECURITY NATIONAL BANK OF QUANAH, THE",211 MAIN STREET ,QUANAH,TX,792524013,041,
735142,NaN,14498,COMMUNITY BANK,208 10TH STREET P O BOX 430,ALTON,IA,51003,041,
735357,NaN,17999,"FARMERS & MERCHANTS STATE BANK OF CAWKER CITY, THE",719 WISCONSIN ,CAWKER CITY,KS,67430,041,
735414,NaN,6530,"FIRST NATIONAL BANK OF BLANCHESTER, THE",121 E MAIN ,BLANCHESTER,OH,45107,041,
735441,NaN,228,AMERICAN STATE BANK,525 NORTH MAIN STREET PO BOX 140,SIOUX CENTER,IA,51250,041,
735656,NaN,8350,PLATTSMOUTH STATE BANK,446 MAIN STREET ,PLATTSMOUTH,NE,68048,041,
